location,events,borough
"7 AVENUE between WEST   49 STREET and WEST   53 STREET,  WEST   49 STREET between 7 AVENUE and 12 AVENUE,  12 AVENUE between WEST   49 STREET and 11 AVENUE,  WEST ST between 12TH and LIBERTY STREET,  LIBERTY ST between WEST ST and S END AVE,  LIBERTY between WEST ST and S END AVE",1,Manhattan
"8 AVENUE between 66 STREET and 68 STREET,  8 AVENUE between 66 STREET and 43 STREET,  8 AVENUE between 43 STREET and 41 STREET",1,Brooklyn
8 AVENUE between WEST   42 STREET and WEST   57 STREET,1,Manhattan
82 PLACE between PENELOPE AVENUE and 63 AVENUE,1,Queens
82 STREET between 13 AVENUE and 14 AVENUE,1,Brooklyn
82 STREET between 160 AVENUE and 161 AVENUE,1,Queens
"9 AVENUE between 14 STREET and 15 STREET,  WEST   15 STREET between 9 AVENUE and 10 AVENUE",1,Manhattan
90 STREET between 165 AVENUE and 164 AVENUE,1,Queens
9820 161 AVENUE between 99 STREET and 98 STREET,1,Queens
ADELAIDE AVENUE between FALCON AVENUE and LYNN STREET,1,Staten Island
ADLER PLACE between CRESCENT STREET and HEMLOCK STREET,1,Brooklyn
ALBANY AVENUE between CLARENDON ROAD and CORTELYOU ROAD,1,Brooklyn
"ALLERTON AVENUE between RADCLIFF AVENUE and COLDEN AVENUE,  ALLERTON AVENUE between RADCLIFF AVENUE and LACONIA AVENUE,  ALLERTON AVENUE between LACONIA AVENUE and LURTING AVENUE",1,Bronx
ARDMORE AVENUE between WESTWOOD AVENUE and DAWSON STREET,1,Staten Island
ATKINS AVENUE between GLENMORE AVENUE and PITKIN AVENUE,1,Brooklyn
ATKINS AVENUE between NEW LOTS AVENUE and HEGEMAN AVENUE,1,Brooklyn
AVENUE OF THE AMERICAS between WEST   42 STREET and WEST   34 STREET,1,Manhattan
Albert J. Parham Playground (PS 20),1,Brooklyn
BAINBRIDGE STREET between RALPH AVENUE and HOWARD AVENUE,1,Brooklyn
BAINBRIDGE STREET between ROCKAWAY AVENUE and THOMAS BOYLAND STREET,1,Brooklyn
BEACH  89TH STREET between BEACH CHANNEL DRIVE and GULL COURT,1,Queens
BEACH 24TH STREET between SEAGIRT AVE and BOARDWALK,1,Queens
BEVERLEY ROAD between EAST   32 STREET and NEW YORK AVENUE,1,Brooklyn
BLAKE AVENUE between AMBOY STREET and THOMAS BOYLAND STREET,1,Brooklyn
BLAKE AVENUE between UNION STREET and TAPSCOTT STREET,1,Brooklyn
BRADFORD STREET between LIBERTY AVENUE and GLENMORE AVENUE,1,Brooklyn
BRIDGE STREET between PROSPECT STREET and YORK STREET,1,Brooklyn
BRIGHTON STREET between BILLOP AVENUE and CLERMONT AVENUE,1,Staten Island
BRISTOL STREET between LIVONIA AVENUE and RIVERDALE AVENUE,1,Brooklyn
BRISTOL STREET between PITKIN AVENUE and SUTTER AVENUE,1,Brooklyn
BROADWAY between PRINCE STREET and EAST HOUSTON STREET,1,Manhattan
BROADWAY between WEST   74 STREET and WEST   75 STREET,1,Manhattan
"BROADWAY between WEST  120 STREET and WEST  116 STREET,  WEST  121 STREET between BROADWAY and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST  120 STREET and WEST  121 STREET,  WEST  116 STREET between BROADWAY and RIVERSIDE DRIVE,  MANHATTAN AVENUE between WEST  110 STREET and WEST  109 STREET,  CLAREMONT AVENUE between WEST  119 STREET and WEST  116 STREET",1,Manhattan
BROADWAY between WEST  120 STREET and WEST  122 STREET,1,Manhattan
BROOK AVENUE between EAST  142 STREET and EAST  143 STREET,1,Bronx
BRUCKNER BOULEVARD between LINCOLN AVENUE and ALEXANDER AVENUE,1,Bronx
CARLTON AVENUE between MYRTLE AVENUE and PARK AVENUE,1,Brooklyn
CHAUNCEY STREET between SARATOGA AVENUE and THOMAS BOYLAND STREET,1,Brooklyn
CHESTERTON AVENUE between HYLAN BOULEVARD and PENDALE STREET,1,Staten Island
CLERMONT AVENUE between DEKALB AVENUE and WILLOUGHBY AVENUE,1,Brooklyn
COLEMAN STREET between AVENUE T and AVENUE U,1,Brooklyn
COLON AVENUE between BARLOW AVENUE and GURLEY AVENUE,1,Staten Island
CONEY ISLAND AVENUE between GLENWOOD ROAD and AVENUE H,1,Brooklyn
CORBIN AVENUE between ARTHUR KILL ROAD and DALEHAM STREET,1,Staten Island
CORNELIA STREET between WOODWARD AVENUE and ONDERDONK AVENUE,1,Queens
COURTLANDT AVENUE between EAST  162 STREET and EAST  161 STREET,1,Bronx
"CROSS BAY BOULEVARD between WEST   10 ROAD and EAST   10 ROAD,  CROSS BAY BOULEVARD between WEST 10 ROAD  and WEST 20 ROAD,  CROSS BAY BOULEVARD between EAST  20 ROAD and EAST   3 ROAD,  CROSS BAY BOULEVARD between EAST    3 ROAD and EAST 2ND ROAD",1,Queens
CROSSFIELD AVENUE between ANNADALE ROAD and DORVAL AVENUE,1,Staten Island
Classon Courts,1,Brooklyn
DEAN STREET between GRAND AVENUE and WASHINGTON AVENUE,1,Brooklyn
DEAN STREET between KINGSTON AVENUE and ALBANY AVENUE,1,Brooklyn
DECATUR STREET between RALPH AVENUE and HOWARD AVENUE,1,Brooklyn
DECATUR STREET between THOMAS BOYLAND STREET and SARATOGA AVENUE,1,Brooklyn
DEGRAW STREET between SMITH STREET and COURT STREET,1,Brooklyn
DESBROSSES STREET between HUDSON STREET and GREENWICH STREET,1,Manhattan
DICTUM COURT between EVERETT AVENUE and FLORENCE AVENUE,1,Brooklyn
DILLON STREET between CLAUDE AVENUE and MATHIAS AVENUE,1,Queens
DITMAS AVENUE between EAST   21 STREET and OCEAN AVENUE,1,Brooklyn
DOANE AVENUE between GURLEY AVENUE and BARLOW AVENUE,1,Staten Island
DUMONT AVENUE between GEORGIA AVENUE and WILLIAMS AVENUE,1,Brooklyn
EAST   14 STREET between AVENUE Y and AVENUE Z,1,Brooklyn
EAST   17 STREET between UNION SQUARE EAST and UNION SQUARE WEST,1,Manhattan
EAST   26 STREET between MADISON AVENUE and PARK AVENUE SOUTH,1,Manhattan
EAST   29 STREET between BEVERLEY ROAD and TILDEN AVENUE,1,Brooklyn
EAST   34 STREET between AVENUE H and GLENWOOD ROAD,1,Brooklyn
EAST   35 STREET between TILDEN AVENUE and BEVERLY ROAD,1,Brooklyn
"EAST   37 STREET between PARK AVENUE and 5 AVENUE,  EAST   38 STREET between PARK AVENUE and 5 AVENUE,  MADISON AVENUE between EAST   38 STREET and EAST   27 STREET,  EAST   27 STREET between PARK AVENUE SOUTH and 5 AVENUE,  MADISON AVENUE between EAST   29 STREET and EAST   30 STREET",1,Manhattan
"EAST   38 STREET between 5 AVENUE and MADISON AVENUE,  EAST   37 STREET between 5 AVENUE and MADISON AVENUE",1,Manhattan
"EAST   38 STREET between 5 AVENUE and PARK AVENUE,  MADISON AVENUE between EAST   38 STREET and EAST   27 STREET,  EAST   27 STREET between MADISON AVENUE and 5 AVENUE,  EAST   37 STREET between 5 AVENUE and MADISON AVENUE,  EAST   27 STREET between MADISON AVENUE and PARK AVENUE SOUTH,  MADISON AVENUE between EAST   28 STREET and EAST   29 STREET",1,Manhattan
EAST   38 STREET between AVENUE D and FOSTER AVENUE,1,Brooklyn
EAST   38 STREET between AVENUE S and FILLMORE AVENUE,1,Brooklyn
EAST   39 STREET between CHURCH AVENUE and LINDEN BOULEVARD,1,Brooklyn
EAST   40 STREET between CORTELYOU ROAD and CLARENDON ROAD,1,Brooklyn
EAST   42 STREET between AVENUE D and FOSTER AVENUE,1,Brooklyn
EAST   42 STREET between AVENUE H and AVENUE I,1,Brooklyn
EAST   45 STREET between FOSTER AVENUE and FARRAGUT ROAD,1,Brooklyn
EAST   49 STREET between FARRAGUT ROAD and FOSTER AVENUE,1,Brooklyn
EAST   53 STREET between BEVERLY ROAD and TILDEN AVENUE,1,Brooklyn
EAST   54 STREET between FILLMORE AVENUE and AVENUE S,1,Brooklyn
EAST   55 STREET between AVENUE N and AVENUE M,1,Brooklyn
EAST   55 STREET between TILDEN AVENUE and SNYDER AVENUE,1,Brooklyn
EAST   56 STREET between AVENUE J and AVENUE K,1,Brooklyn
EAST   56 STREET between AVENUE L and AVENUE M,1,Brooklyn
EAST   57 STREET between 5 AVENUE and MADISON AVENUE,1,Manhattan
EAST   71 STREET between AVENUE V and AVENUE W,1,Brooklyn
EAST   86 STREET between AVENUE K and AVENUE L,1,Brooklyn
EAST   86 STREET between RALPH AVENUE and AVENUE B,1,Brooklyn
EAST   89 STREET between FLATLANDS AVENUE and AVENUE J,1,Brooklyn
EAST   91 STREET between CHURCH AVENUE and LINDEN BOULEVARD,1,Brooklyn
EAST   93 STREET between AVENUE D and FOSTER AVENUE,1,Brooklyn
EAST   95 STREET between AVENUE B and AVENUE A,1,Brooklyn
EAST  105 STREET between FIRST AVENUE and FDR DRIVE,1,Manhattan
EAST  107 STREET between 5 AVENUE and MADISON AVENUE,1,Manhattan
EAST  116 STREET between LEXINGTON AVENUE and 3 AVENUE,1,Manhattan
EAST  117 STREET between PLEASANT AVENUE and FIRST AVENUE,1,Manhattan
EAST  121 STREET between PARK AVENUE and LEXINGTON AVENUE,1,Manhattan
EAST  162 STREET between MELROSE AVENUE and ELTON AVENUE,1,Bronx
EAST  169 STREET between PARK AVENUE and WEBSTER AVENUE,1,Bronx
EAST  172 STREET between THIRD AVENUE and BATHGATE AVENUE,1,Bronx
"EVERGREEN AVENUE between PALMETTO STREET and WOODBINE STREET,  EVERGREEN AVENUE between STOCKHOLM STREET and DECATUR STREET,  CENTRAL AVENUE between STOCKHOLM STREET and DECATUR STREET,  DECATUR STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  PALMETTO STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  CORNELIA STREET between CENTRAL AVENUE and EVERGREEN AVENUE,  EVERGREEN AVENUE between WOODBINE STREET and PALMETTO STREET",1,Brooklyn
Equity Park,1,Queens
FORD STREET between VOORHIES AVENUE and SHORE PARKWAY,1,Brooklyn
FOREST AVENUE between HOME STREET and EAST  166 STREET,1,Bronx
FORSYTH STREET between DIVISION STREET and EAST BROADWAY,1,Manhattan
GLASSBORO AVENUE between 143 STREET and INWOOD STREET,1,Queens
GRAND STREET between ROEBLING STREET and HAVEMEYER STREET,1,Brooklyn
GREENE AVENUE between BEDFORD AVENUE and NOSTRAND AVENUE,1,Brooklyn
GREENE STREET between SPRING STREET and BROOME STREET,1,Manhattan
HALSEY STREET between THROOP AVENUE and MARCUS GARVEY AVENUE,1,Brooklyn
HANCOCK STREET between BEDFORD AVENUE and NOSTRAND AVENUE,1,Brooklyn
HANCOCK STREET between MARCUS GARVEY BOULEVARD and THROOP AVENUE,1,Brooklyn
HANCOCK STREET between TOMPKINS AVENUE and MARCY AVENUE,1,Brooklyn
HAWTHORNE AVENUE between CASWELL AVENUE and WATCHOGUE ROAD,1,Staten Island
HAWTHORNE STREET between FLATBUSH AVENUE and BEDFORD AVENUE,1,Brooklyn
HENDRICKSON STREET between AVENUE S and FILLMORE AVENUE,1,Brooklyn
HOE AVENUE between ALDUS STREET and BRUCKNER BOULEVARD,1,Bronx
HOFFMAN STREET between EAST FORDHAM ROAD and EAST  191 STREET,1,Bronx
HOLLAND AVENUE between EAST GUN HILL ROAD and MAGENTA STREET,1,Bronx
HOOPER STREET between BORINQUEN PLACE and SOUTH    1 STREET,1,Brooklyn
HULL STREET between MOTHER GASTON BOULEVARD and ROCKAWAY AVENUE,1,Brooklyn
Hillside Park (JHS 172),1,Queens
Holocaust Memorial Park,1,Brooklyn
Hudson Theatre,1,Manhattan
INWOOD STREET between SUTTER AVENUE and 130 AVENUE,1,Queens
IONIA AVENUE between FOSTER ROAD and VERNON AVENUE,1,Staten Island
JACKSON STREET between DEBEVOISE AVENUE and KINGSLAND AVENUE,1,Brooklyn
JEFFERSON AVENUE between CYPRESS AVENUE and WYCKOFF AVENUE,1,Queens
JEFFERSON AVENUE between STUYVESANT AVENUE and MALCOLM X BOULEVARD,1,Brooklyn
JEFFERSON STREET between DONGAN HILLS AVENUE and SEAVER AVENUE,1,Staten Island
KATONAH AVENUE between EAST  240 STREET and EAST  239 STREET,1,Bronx
"KENT AVENUE between NORTH   11 STREET and NORTH   12 STREET,  NORTH   11 STREET between KENT AVENUE and BERRY STREET,  BERRY ST between N 11TH STREET and BANKER STREET,  NORMAN AVENUE between BANKER STREET and DOBBIN STREET,  BANKER STREET between NASSAU AVENUE and WYTHE AVENUE",1,Brooklyn
KENT AVENUE between SOUTH    2 STREET and SOUTH    3 STREET,1,Brooklyn
KINGSLAND AVENUE between WARING AVENUE and MACE AVENUE,1,Bronx
KNAPP STREET between DRAPER PLACE and FREEDOM AVENUE,1,Staten Island
LAFAYETTE AVENUE between MALCOLM X BOULEVARD and STUYVESANT AVENUE,1,Brooklyn
LAFAYETTE AVENUE between NOSTRAND AVENUE and MARCY AVENUE,1,Brooklyn
LEXINGTON AVENUE between CATHERINE STREET and DEAD END,1,Staten Island
LITTLE NECK PARKWAY SERVICE ROAD between HILLSIDE AVENUE and 83 AVENUE,1,Queens
LLOYD STREET between CHURCH AVENUE and ERASMUS STREET,1,Brooklyn
LOCKE STREET between ASHFORD STREET and ELTON STREET,1,Brooklyn
